Player,Year,FantasyPoints,rushing_att,1st_down_rush,longest_rushing_att,rushing_yds/att,pass_target,receptions,1d_rec,rec_yds/tgt
LaDainian Tomlinson,2006,481.1,348,83,85,5.2,80,56,23,6.4
Shaun Alexander,2005,276.8,370,109,88,5.1,29,15,3,2.7
Mike Anderson,2005,214.6,239,61,44,4.2,21,18,6,10.1
Tiki Barber,2005,357,357,74,95,5.2,70,54,22,7.6
Reuben Droughns,2005,209.1,309,61,75,4,56,39,14,6.6
Warrick Dunn,2005,214.6,280,67,65,5.1,37,29,8,5.9
Steven Jackson,2005,233.6,254,50,51,4.1,55,43,13,5.8
Edgerrin James,2005,310.3,360,97,33,4.2,50,44,22,6.7
Thomas Jones,2005,223.8,314,63,42,4.3,39,26,6,3.7
Jamal Lewis,2005,155.7,269,49,25,3.4,44,32,6,4.3
Willis McGahee,2005,198.5,325,71,27,3.8,37,28,10,4.8
Willie Parker,2005,190,255,48,80,4.7,24,18,9,9.1
Clinton Portis,2005,269.9,352,76,47,4.3,41,30,13,5.3
LaDainian Tomlinson,2005,366.1,339,72,62,4.3,77,51,15,4.8
Shaun Alexander,2004,323.6,353,78,44,4.8,38,23,9,4.5
Reuben Droughns,2004,222.1,275,72,51,4.5,44,32,14,5.5
Warrick Dunn,2004,219,265,47,60,4.2,39,29,9,7.5
Ahman Green,2004,228.6,259,58,90,4.5,51,40,18,5.4
Edgerrin James,2004,304.1,334,78,40,4.6,60,51,20,8.1
Rudi Johnson,2004,232.8,361,74,52,4,28,15,2,3
Curtis Martin,2004,319.2,371,93,25,4.6,49,41,12,5
Clinton Portis,2004,235.6,343,67,64,3.8,57,40,10,4.1
Emmitt Smith,2004,176,267,43,29,3.5,20,15,3,5.3
LaDainian Tomlinson,2004,336.12,339,74,42,3.9,66,53,16,6.7
Domanick Williams,2004,323.6,302,57,44,3.9,84,68,27,7
Shaun Alexander,2003,305,326,81,55,4.4,59,42,17,5
Tiki Barber,2003,242.7,278,68,27,4.4,98,69,26,4.7
Eddie George,2003,171.4,312,52,27,3.3,31,22,7,5.3
Ahman Green,2003,385,355,100,98,5.3,60,50,21,6.1
Troy Hambrick,2003,148.1,275,58,42,3.5,24,17,2,4.1
Travis Henry,2003,237.4,331,77,64,4.1,40,28,9,4
Priest Holmes,2003,445,320,90,31,4.4,90,74,35,7.7
Jamal Lewis,2003,325.1,387,85,82,5.3,38,26,10,5.4
Curtis Martin,2003,207,323,57,56,4,53,42,9,4.9
Deuce McAllister,2003,326.7,351,69,76,4.7,87,69,23,5.9
Fred Taylor,2003,276.2,345,79,62,4.6,74,48,16,5
LaDainian Tomlinson,2003,443.8,313,83,73,5.3,137,100,26,5.3
Ricky Williams,2003,272.3,392,68,45,3.5,62,50,12,5.7
Shaun Alexander,2002,328.5,295,64,58,4,78,59,20,5.9
Tiki Barber,2002,321.3,304,71,70,4.6,95,69,24,6.3
Michael Bennett,2002,231.7,255,47,85,5.1,41,37,16,8.6
Corey Dillon,2002,241.9,314,72,67,4.2,61,43,18,4.9
Charlie Garner,2002,347.3,182,49,36,5.3,111,91,47,8.5
Eddie George,2002,260,343,62,35,3.4,46,36,11,5.5
Garrison Hearst,2002,224.9,215,53,40,4.5,69,48,14,4.6
Travis Henry,2002,283.7,325,78,34,4.4,59,43,14,5.2
Jamal Lewis,2002,251.9,308,66,75,4.3,60,47,14,7.4
Curtis Martin,2002,236.6,261,55,35,4.2,56,49,17,6.5
Deuce McAllister,2002,311,325,68,62,4.3,74,47,15,4.8
Michael Pittman,2002,182.5,204,37,21,3.5,86,59,19,5.5
Antowain Smith,2002,199.5,252,58,42,3.9,42,31,11,5.8
Emmitt Smith,2002,150.4,254,50,30,3.8,24,16,4,3.7
Duce Staley,2002,256,269,58,57,3.8,69,51,20,7.8
Fred Taylor,2002,265.2,287,50,63,4.6,57,49,15,7.2
LaDainian Tomlinson,2002,384.2,372,96,76,4.5,101,79,21,4.8
Ricky Williams,2002,362.6,383,94,63,4.8,59,47,16,6.2
Stephen Davis,2001,215.7,356,75,32,4,37,28,8,5.5
Corey Dillon,2001,258.3,340,69,96,3.9,61,34,13,3.7
Charlie Garner,2001,227.7,211,33,38,4,91,72,29,6.4
Eddie George,2001,176.8,315,40,27,3,51,37,11,5.5
Ahman Green,2001,318.1,304,57,83,4.6,82,62,24,7.2
Garrison Hearst,2001,224.3,252,53,43,4.8,55,41,15,6.3
Priest Holmes,2001,332.9,327,81,41,4.8,75,62,21,8.2
Curtis Martin,2001,298,333,78,47,4.5,63,53,13,5.1
Antowain Smith,2001,223.9,287,61,44,4,28,19,6,6.9
Lamar Smith,2001,188.2,313,48,25,3.1,35,30,8,6.7
LaDainian Tomlinson,2001,269.3,339,68,54,3.6,74,59,12,5
Ricky Williams,2001,265.6,313,61,46,4,88,60,19,5.8
James Allen,2000,190.1,290,56,29,3.9,60,39,17,4.9
Jamal Anderson,2000,210.6,282,52,42,3.6,58,42,15,6.6
Jerome Bettis,2000,202.8,355,72,30,3.8,19,13,5,5.1
Stephen Davis,2000,254.1,332,72,50,4,49,33,12,6.4
Corey Dillon,2000,213.3,315,71,80,4.6,26,18,5,6.1
Charlie Garner,2000,300.9,258,57,42,4.4,94,68,28,6.9
Eddie George,2000,334.2,403,78,35,3.7,65,50,23,7
Edgerrin James,2000,393.3,387,100,30,4.4,87,63,24,6.8
Curtis Martin,2000,307.9,316,64,55,3.8,96,70,25,5.3
Emmitt Smith,2000,183.2,294,66,52,4.1,14,11,2,5.6
Lamar Smith,2000,255,309,65,68,3.7,38,31,8,5.3
Robert Smith,2000,280.9,295,63,72,5.2,44,36,15,7.9
James Stewart,2000,241.1,339,66,34,3.5,48,32,15,6
Ricky Watters,2000,298.5,278,60,55,4.5,92,63,28,6.7
Jerome Bettis,1999,185.94,299,64,35,3.6,28,21,2,3.9
Corey Dillon,1999,212,263,64,50,4.6,49,31,13,5.9
Warrick Dunn,1999,192.5,195,31,33,3.2,82,64,29,7.2
Marshall Faulk,1999,397.9,253,70,58,5.5,103,87,40,10.2
Charlie Garner,1999,264.4,241,54,53,5.1,76,56,23,7
Eddie George,1999,293.2,320,71,40,4.1,65,47,20,7
Edgerrin James,1999,369.9,369,86,72,4.2,82,62,23,7.1
Curtis Martin,1999,247.3,367,87,50,4,49,45,9,5.3
Emmitt Smith,1999,250.6,329,86,63,4.2,32,27,4,3.7
Duce Staley,1999,225.7,325,50,29,3.9,66,41,19,4.5
Ricky Watters,1999,233.7,325,51,45,3.7,62,40,17,6.2
Karim Abdul-Jabbar,1998,161.2,270,48,45,3.6,31,21,3,3.3
Jamal Anderson,1998,335.5,410,94,48,4.5,46,27,13,6.9
Jerome Bettis,1998,159.5,316,61,42,3.8,23,16,2,3.9
Terrell Davis,1998,281.5,392,101,70,5.1,38,25,12,5.7
Corey Dillon,1998,184.8,262,57,66,4.3,44,28,4,4
Robert Edwards,1998,249.6,291,50,53,3.8,52,35,13,6.4
Marshall Faulk,1998,364.7,324,62,68,4.1,106,86,44,8.6
Eddie George,1998,231.4,348,75,37,3.7,49,37,17,6.3
Garrison Hearst,1998,297.5,310,73,96,5.1,56,39,14,9.6
